Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3",LED_D3.0mm,3,LED,
"J1, J2","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",2,Conn_01x04,
J4,OLED_128x64,1,OLED_128x64,
"R1, R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,R,
SW1,SW_PUSH_6mm,1,Abort,
SW2,SW_PUSH_6mm,1,Pause,
SW3,SW_PUSH_6mm,1,Start/Resume,
